Task_Number,Duration_ms
3,12.61
3,12.769
3,12.63
3,11.991999999999999
4,10.898
4,12.661
4,10.992
4,12.583
5,11.259
5,12.161999999999999
5,12.56
5,12.577
2,330.931
2,12.552000000000001
3,10.22
3,11.324000000000002
3,12.852
3,11.966
4,12.466
4,16.941000000000003
4,11.429
4,12.505
5,294.12100000000004
5,12.200000000000001
5,12.406
5,11.710999999999999
5,12.607
2,366.817
2,12.599
3,12.619
3,12.286
3,12.21
3,12.645
4,281.32
4,12.515
4,11.481
4,12.629
4,11.736
5,12.612
5,12.626999999999999
5,12.655
5,12.753
2,427.065
2,12.123999999999999
3,10.916
3,12.731
3,12.233
3,12.638
4,11.706
4,12.651000000000002
4,12.586
4,12.657
5,364.107
5,12.61
5,12.597000000000001
5,12.641
5,11.684
2,345.685
2,12.583
3,10.362
3,12.93
3,12.059999999999999
3,12.687000000000001
4,286.045
4,12.579
4,12.184000000000001
4,12.723999999999998
4,11.075
5,12.102
5,12.562
5,10.946
5,12.568
2,337.51300000000003
2,12.675
3,12.283000000000001
3,11.128
3,12.585
3,12.63
4,11.448
4,12.597000000000001
4,12.62
4,12.671999999999999
5,283.964
5,12.597999999999999
5,12.158000000000001
5,13.186
5,12.999
2,339.382
2,11.817
3,11.368
3,23.434
3,12.641
3,12.55
4,291.831
4,12.544
4,12.545
4,11.508
4,12.55
5,12.224
5,12.355
5,12.551
5,13.658999999999999
2,352.049
2,10.951
3,11.293
3,11.814
3,12.626
3,12.156
4,12.689
4,11.433
4,10.943
4,12.571
5,269.443
5,10.449
5,12.603
5,11.631
5,12.024999999999999
2,322.291
2,11.270000000000001
3,12.718
3,12.317
3,10.48
3,12.68
4,261.048
4,12.743
4,12.766
4,10.784
4,12.565
5,11.801
5,12.557
5,11.28
5,12.545
1,2259.539
2,338.46500000000003
2,12.564
3,10.46
3,10.949
3,10.626999999999999
3,12.401
4,12.889
4,12.165000000000001
4,11.615
4,12.576
5,279.463
5,12.091
5,10.937000000000001
5,11.729
5,10.652
2,417.012
2,15.706000000000001
3,13.292
3,10.725999999999999
3,12.73
3,11.932
4,367.353
4,11.762
4,12.761
4,10.357999999999999
4,12.637
5,11.289
5,10.437999999999999
5,10.999
5,10.389000000000001
6,2337.577
2,340.336
2,12.822
3,13.343
3,10.449
3,11.225000000000001
3,17.678
4,12.648
4,12.569
4,11.363
4,12.536
5,281.977
5,12.55
5,12.361
5,11.114
5,10.187
2,342.519
2,12.94
3,12.681
3,11.398
3,10.062
3,11.148
4,275.229
4,10.193000000000001
4,10.498000000000001
4,12.764
4,12.607
5,12.692
5,10.172
5,11.898000000000001
5,10.094000000000001
2,317.808
2,12.966
3,11.195
3,12.544
3,10.966999999999999
3,11.095
4,12.555
4,12.536999999999999
4,12.527999999999999
4,12.579999999999998
5,264.156
5,10.439
5,12.441
5,12.077
5,14.852
2,328.531
2,11.028
3,12.573
3,12.263
3,12.033999999999999
3,12.553999999999998
4,273.215
4,12.286
4,11.923
4,10.987
4,11.491
5,12.865
5,12.217
5,12.373999999999999
5,10.989
2,331.507
2,12.588999999999999
3,11.579
3,10.833
3,12.574
3,12.826
4,12.585
4,11.202
4,10.257
4,10.458
5,263.637
5,12.629
5,10.657
5,12.584
5,11.458
1,2224.725
2,337.377
2,10.847000000000001
3,12.112
3,12.747
3,11.469
3,12.586
4,285.003
4,12.479000000000001
4,11.014
4,11.299999999999999
4,11.716000000000001
5,12.586
5,12.567
5,12.219000000000001
5,11.108
